,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
217,Afroman,Crazy Rap (Colt 45 & 2 Zig Zags),+,+,+,+,-,+,-,=,-,+,+,3.623028966669594,3.699594231264845
218,Alaina Castillo,ocean waves,+,+,+,+,-,-,-,=,-,-,+,35.9385169459737,5.146217824799593
219,Culture Queen,I Am the Future of Black History,+,+,+,=,-,-,+,=,-,+,+,-5.309326699792974,0.9600906879354392
220,Martin O'Donnell,Donegal Shore,-,+,+,+,-,-,+,+,-,-,+,-16.249150830066238,10.798428211755274
221,Johnny Kidd & The Pirates,This Golden Ring,-,+,+,+,-,-,+,=,-,+,+,-22.641233272067375,-14.755162169918677
222,Ted Leo and the Pharmacists,Dragging My Own Tombstone,-,+,+,+,-,-,-,+,-,+,+,-11.975332549263738,11.400113378924969
223,Mary Wells,Gigolo,+,+,+,+,-,-,-,+,+,+,+,-15.152045440007862,-9.54535847818266
224,Donnie,No Money No Funny,=,+,+,+,-,-,+,+,-,+,+,-8.972969815263324,6.923035109454292
225,PnB Rock,Aftermath,+,+,+,+,-,-,-,=,-,+,+,-6.297496005600136,5.249073227468082
226,The Sugarhill Gang,Fireworks,+,+,+,=,-,-,-,=,-,+,+,-7.408584183738191,-3.3092559557309085
227,88GLAM,Sun Is Up,+,+,+,+,-,-,-,=,-,+,+,17.631464930419387,-22.71569052098249
228,Phil Spector,Tedesco And Pitman,-,+,+,=,-,-,+,+,-,+,+,-17.84730672410585,0.29037729658865746
229,Michael Johnson,There's A Love - Remastered 2002,+,+,+,+,-,-,-,+,-,+,+,-8.83978113815312,11.572774729341681
230,Jazmine Sullivan,Stuttering,+,+,+,+,-,-,-,=,-,-,+,28.14716212932832,23.447608013016072
231,The Squires,(I'm a Man And) I Can't Cry - Mono,+,+,+,+,-,-,+,+,-,+,+,-6.876909967065051,-9.426964871675654
232,Chicago,Just You n' Me,+,+,+,=,-,-,-,+,-,+,+,16.155511084302397,-8.01155700202037
233,Chronixx,Black Is Beautiful,+,+,+,+,-,-,-,+,-,-,+,31.23503168637598,-1.2991194784637226
234,XYLØ,APPLE PIE,+,+,+,+,-,-,-,+,-,-,+,20.128927923684056,3.7525532912922928
235,Saves The Day,Through Being Cool - Basement Demos,+,+,+,=,-,-,-,+,-,+,+,-12.292829615225239,1.8885980469836434
236,Barry Blue,Delicate Beauty,-,+,+,+,-,-,+,+,+,-,+,-21.847710276012396,-11.588461693289155
237,The Osborne Brothers,I Wonder Where You Are Tonight,-,+,+,+,-,-,+,+,-,+,+,-19.12861389859495,-4.83255349323259
238,The Byrds,Reputation,+,+,+,+,-,-,+,+,-,+,+,-5.71988759087577,7.564500080525233
239,Doc Watson,Groundhog (Blind Lemon's Version),+,+,+,+,-,-,+,+,+,+,+,-9.539656966078567,-20.068686995868887
240,The Impressions,Potent Love,=,+,+,+,-,-,+,+,+,+,+,-13.598537940131878,-11.572390517040011
241,Alborosie,The Prophecy,+,-,+,+,-,-,+,=,+,+,+,5.777271174067084,12.323271389462931
242,The Upsetters,Picture on the Wall (Version 3),+,+,+,+,-,-,-,+,-,+,+,-6.927667516152178,10.97585535521238
243,Nao,Good Girl,+,-,+,=,-,-,-,=,+,+,+,13.902696970901003,-4.655237469458584
244,Wolf Parade,Call It A Ritual,+,-,+,+,-,-,+,+,-,+,+,9.028231288017027,25.318627223083787
245,James Blunt,How It Feels to Be Alive,+,+,+,+,-,-,+,+,-,-,+,17.656725076562573,-18.494080337717627
246,Jonathan McReynolds,Cannot Tell It All,+,+,+,+,-,-,-,=,-,-,+,13.168256930993547,17.136980793040575
247,Genesis,Tell Me Why,+,+,+,+,-,-,-,+,-,+,+,-9.26531765210779,-14.857001302071781
248,Shane Carter,Powerless,-,+,+,=,-,+,-,=,+,+,+,-19.127994239293418,-0.7117636297933846
249,Janice Weaver,Robbie,-,-,+,=,-,-,+,+,+,-,+,-17.835424046294108,4.459172788148874
