,artist,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
188,The Planet Smashers,Raise Your Glass,+,+,+,=,-,=,-,+,-,-,+,+,-11.327267272740658,15.929379196068776
189,Queensrÿche,Synchronicity II,-,-,+,=,-,=,-,-,+,+,+,+,-23.93592198694528,-12.75633201318885
190,INFINITE,Between me&you,+,-,+,=,-,=,-,+,-,-,+,+,7.655588088066883,17.366339869583225
191,Dr. Dog,Where'd All the Time Go?,+,-,+,=,-,=,-,+,+,-,+,+,42.940413107553674,-3.226052717543196
192,French Montana,Cocaine Konvict,-,-,+,=,-,=,+,+,-,-,+,+,-14.98370205579686,-9.208642061537605
193,The Vandals,43210-1,+,-,+,=,-,=,+,-,+,+,+,+,-4.133937496939595,1.8262062981043141
194,Thursday,Standing on the Edge of Summer,+,-,+,=,-,=,-,-,+,-,+,+,18.909207110871684,-1.1434694121417006
195,Boys Like Girls,Broken Man,+,+,+,=,-,=,-,+,-,-,+,+,4.827564780714997,4.773610498966011
196,The Who,Sound Round,-,-,+,=,-,=,-,+,-,+,+,+,-22.971596242294698,-10.143501763093084
197,Tech N9ne,Comfortable,+,+,+,=,-,=,+,+,-,-,+,+,11.642318628631426,18.257569494199647
198,Rilo Kiley,Portions for Foxes,+,+,+,=,-,=,-,-,+,-,+,+,28.317382783423124,-30.82471910398441
199,Michael Learns To Rock,Strange Foreign Beauty - 2002 Digital Remaster,+,+,+,=,-,=,-,+,+,-,+,+,1.0305785445538154,-10.064664700244895
200,Armor For Sleep,The More You Talk the Less I Hear,+,-,+,=,-,-,-,-,-,+,+,+,-5.0697544309372615,-2.8381025935285855
201,Ha*Ash,Hasta Que Llegaste Tú,+,-,+,=,-,=,-,+,-,-,+,+,6.757684536285589,9.817321354018812
202,Israel Houghton,Moving Forward - Live,+,-,+,=,-,=,-,+,-,+,+,+,1.1934700860769942,-21.96166582621308
203,Ozuna,Noches de Aventura,+,+,+,=,-,=,-,+,-,-,+,+,37.69942075461764,14.341934809334939
204,All Time Low,Weightless,+,+,+,=,-,=,-,-,-,-,+,+,40.73781083534977,11.519446296451695
205,From First To Last,Secrets Don't Make Friends,+,-,+,=,-,-,-,+,-,-,+,+,11.824936497293889,5.013224469036816
206,Snoop Dogg,Got Those,-,+,+,=,-,=,+,+,-,-,+,+,-17.21477816941258,7.680856603566302
207,Panic! At The Disco,"LA Devotee - Live at Amway Center, Orlando, FL, 4/14/2017",+,-,+,=,-,=,-,+,-,+,+,+,15.808141799558163,6.12821071743493
208,Kye Shand,Renegade - Radio Edit,-,-,+,=,-,=,+,+,+,+,+,+,-13.859108612659952,-18.297045241081232
209,Oasis,Wonderwall - Remastered,+,-,+,=,-,=,-,-,-,-,+,+,18.833089168821637,4.459091961935905
210,The Jayhawks,Guilder Annie,-,-,+,=,-,=,-,+,-,-,+,+,-20.220735532988826,8.06974636897559
211,YFN Lucci,One Day (feat. Trouble),-,+,+,=,-,-,-,+,-,-,+,+,-21.717335246165444,-28.56554845426771
212,Mumford & Sons,Forever - Garage Version,+,-,+,=,-,=,-,+,+,+,+,+,20.81766252316524,5.571631457434568
213,Box Car Racer,I Feel So,+,-,+,=,-,=,-,+,+,+,+,+,29.2640619793704,-26.971495109101756
214,Kylie Minogue,Kids - Live in Sydney,+,-,+,=,-,=,+,+,-,+,+,+,-10.306916350839552,14.401443490716822
215,Audioslave,Nothing Left To Say But Goodbye,+,-,+,=,-,-,-,+,-,-,+,+,13.009066045425874,-8.43221045391615
216,All Time Low,Me Without You (All I Ever Wanted),+,-,+,=,-,=,-,-,+,+,+,+,15.948184444295663,-3.9997135598660716
217,All Good Things,Kingdom,+,+,+,=,-,=,-,-,-,+,+,+,25.027973857697624,-9.764556251097504
218,PnB Rock,Friends,-,+,+,=,-,=,-,+,+,-,+,+,-17.010649689178198,-7.240795985660814
219,Thursday,Division St.,+,-,+,=,-,-,-,-,+,-,+,+,5.959350676917933,-4.854445748150766
220,Boys Like Girls,Five Minutes to Midnight,+,+,+,=,-,=,-,+,-,+,+,+,21.974161762757255,-5.853158716476874
221,Rosenfeld,I Don't Need Your Name,+,+,+,=,-,-,-,+,+,-,+,+,13.674889522113288,16.03320602329336
222,Meek Mill,Wins & Losses,+,+,+,=,-,=,+,+,-,+,+,+,-7.292287211372365,13.461680914684647
223,Happy Drunk Cartel,Drunk Tank,-,-,+,=,-,=,+,-,-,+,+,+,-21.882037702987112,-16.630262462394274
224,Jessie J,Do It Like A Dude,-,+,+,=,-,=,-,+,-,+,+,+,-16.69400703368824,-30.301542652333495
225,Fat Trel,She Fell In Love,-,-,+,=,-,-,+,+,-,+,+,+,-24.2888369946341,12.984167823851866
226,Public Enemy,Shut 'Em Down - Live,-,-,+,=,-,=,+,+,-,+,+,+,-15.25892481552513,10.843020778719328
227,Agent Orange,Everything Turns Grey - 2019 Remaster,-,-,+,=,-,=,-,+,-,+,+,+,-24.20656083113757,7.016328383509208
228,The Maccabees,Pelican,-,-,+,=,-,=,-,+,+,+,+,+,-23.30161364998406,13.9573817026098
229,Echo & the Bunnymen,Is This A Breakdown?,-,-,+,=,-,=,-,+,+,-,+,+,-13.269700403097865,11.696628755845582
230,Modestep,Snake,+,-,+,=,-,=,+,-,+,+,+,+,-0.1612717094028627,3.8430899255317454
