,artist,song_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,pca1,pca2
206,Big Sean,Respect It (with Hit-Boy feat. Young Thug),++,=,=,=,--,++,=,--,++,-,=,20.186389426058295,17.853811233508665
207,Bobby Vinton,Blue On Blue - Re-Recorded In Stereo,=,=,=,=,--,-,++,+,++,-,=,-6.967650136474684,-10.294416866740525
208,BandManVon,Take Time,--,=,=,=,--,++,-,--,++,-,=,-15.491308696546957,1.7272443043367238
209,Stevie Wonder,Living For The City - Live/1995,++,=,=,=,--,-,=,--,++,-,=,6.033988698699784,-10.514904832407337
210,The Game,Start Writing,-,=,=,=,--,++,+,--,++,-,=,-10.071034112845158,12.062902987442648
211,Froidz,Forevermore - Radio Edit,--,=,=,=,--,=,++,--,++,-,=,-15.79780217810759,-5.908556720052891
212,Hezekiah Walker,Living to Live Again,=,=,=,=,--,++,-,--,++,=,=,-3.014723100866779,-11.533360202519662
213,Trace Adkins,I Wanna Feel Something,=,-,=,=,--,-,--,--,++,-,=,-6.75267778206317,19.90255150736513
214,Bob Dylan,Narrow Way,++,=,=,=,--,=,+,--,++,=,=,10.053927466078616,-10.093940214401112
215,Cledus T. Judd,Harry The Hairy Ape,--,=,=,=,--,++,=,--,++,=,=,-13.405019078889001,3.8278224527679066
216,Years & Years,Breathe,=,=,=,=,--,-,++,--,++,-,=,-0.40662107267931846,3.5079152093240653
217,Gloria Estefan,Sólo Por Tu Amor,=,-,=,=,--,-,++,--,++,-,=,0.04994676032009899,-10.001416393881955
218,Paul Young,Say Goodbye,-,=,=,=,--,-,++,--,++,-,=,-9.559369037652155,-0.09990020652468785
219,Warren Hill,Do You Feel What I'm Feeling?,++,=,=,=,--,=,++,++,=,-,=,18.538896327305025,1.7740538668988604
220,The Chi-Lites,I Forgot To Say I Love You Till I'm Gone,=,=,=,=,--,=,++,--,++,=,=,-5.852711252310139,-7.470833464822268
221,Ja Rule,Kill 'Em All,=,=,=,=,--,++,--,--,++,=,=,-4.527367953748537,0.6191580079775603
222,Jamila Woods,FRIDA,++,=,=,=,--,++,-,+,++,-,=,17.577578667358644,2.768317173981944
223,B.o.B,Arena (feat. Chris Brown & T.I.),++,=,=,=,--,=,++,--,+,=,=,22.103528086371114,15.761600734049459
224,Gram Parsons,That's All It Took - Remastered Version,=,=,=,=,--,-,++,--,++,=,=,0.11009517613845006,-8.499275884946913
225,David Pack,Where We Started From,=,=,=,=,--,-,++,--,++,=,=,0.108242048712377,-8.550537927190748
226,B-Legit,Gud Gud (Like Me),++,=,-,=,--,++,=,--,++,=,=,6.30328451106084,-3.8358218612651083
227,Pat Boone,Still Waters Run Deep,=,=,=,=,--,-,++,++,++,=,=,0.5519094210754363,2.4660167058684133
228,Spice Girls,If U Can't Dance,++,=,=,=,--,++,=,--,+,-,=,28.090928558380778,-9.545427953364591
229,Keri Hilson,Get Your Money Up,=,=,=,=,--,++,--,--,+,-,=,-1.5110894857127675,0.9439862759772216
230,Frankie Valli & The Four Seasons,Sun Country,=,=,=,=,--,=,=,-,++,=,=,-1.4074031869762211,3.5224849661174846
231,Damian Marley,"10,000 Chariots",++,=,=,=,--,++,=,--,++,-,=,11.42682593898431,-0.8585214592626293
232,Gregory Isaacs,Next to You - Extended Version,--,=,=,=,--,+,--,++,++,=,=,-15.035476116962819,13.041017262864978
233,YoungBoy Never Broke Again,Moral,++,=,=,=,--,++,++,--,++,-,=,25.007187484819237,-11.562305638755856
234,Rodney Atkins,My Life,++,-,=,=,--,-,++,--,++,-,=,15.31115696703517,21.03966665644505
235,Groundation,Be That Way,-,=,=,=,--,-,--,--,++,-,=,-9.922396217453755,-9.11463517877797
236,Solomon Burke,You And Me,--,=,=,=,--,-,++,++,++,=,=,-12.633482823491523,-1.8697329838482448
237,Wrabel,since i was young (with kesha) - casey lagos end of summer mix,++,-,=,=,--,+,++,--,++,-,=,31.330594660436155,-3.6409743557805307
238,TraXX,Black MAN,--,=,=,=,--,++,++,--,++,-,=,-15.108110038808327,11.233886933190426
239,The Chi-Lites,You're No Longer Part Of My Heart,++,-,=,=,--,-,++,--,++,=,=,7.434648733632478,-0.5811415687084543
240,The Blues Brothers,She Caught the Katy,-,=,=,=,--,-,++,=,++,=,=,-9.550648154031066,0.126443144148825
241,Slightly Stoopid,Chanch,++,=,=,=,--,++,++,++,++,=,=,8.732263369953307,6.7946092306722115
242,Bobby Brown,Every Little Hit Mega Mix - Club Version,+,-,=,=,--,=,--,--,+,-,=,2.1741707003397246,-6.955430645485954
243,Nate Dogg,Dogg Pound Gangstaville (feat. Snoop Dogg) (J. Period Remix),+,=,=,=,--,++,=,--,++,=,=,3.6319958068224127,4.398640248825416
244,Eternal,Stay,--,=,=,=,--,=,--,--,-,=,=,-15.65844076810243,-2.4200782910952268
245,The Mighty Mighty Bosstones,"Someday I Suppose - ""Ska-Core"" Album Version",=,-,=,=,--,++,--,--,=,=,=,0.7256345924859203,6.8041423081218175
246,Kool G Rap,Dramacide,=,=,=,=,--,++,-,--,=,=,=,-7.658056364197504,-2.5676190136304755
247,Al Kooper,This Diamond Ring,--,=,=,=,--,-,-,++,++,=,=,-15.640884975273837,-1.9893899255546925
248,Fito Olivares y Su Grupo,La Gallina,++,=,=,=,--,=,+,++,++,=,=,33.57507768896137,2.3802544335420057
249,Dennis Brown,"Easy, Take It Easy - Extended",-,=,=,=,--,=,--,+,++,=,=,-7.8718757881132,16.97732261125874
